target,alpha,nominal_coverage,point_coverage,point_gap,cqr_coverage,cqr_gap
TIT,0.05,0.95,0.9794955543458538,0.029495554345853825,0.9637089457448739,0.013708945744873913
TIT,0.07,0.9299999999999999,0.968608238069316,0.038608238069316014,0.9502812556704773,0.02028125567047734
TIT,0.1,0.9,0.9575394665215025,0.057539466521502436,0.9268735256759209,0.02687352567592083
TIT,0.15,0.85,0.9375793866811831,0.08757938668118315,0.8633641807294502,0.013364180729450226
TIT,0.2,0.8,0.9074578116494284,0.10745781164942836,0.7853384140809291,-0.014661585919070963
NOX,0.05,0.95,0.965160587915079,0.015160587915079016,0.9569951007076756,0.006995100707675617
NOX,0.07,0.9299999999999999,0.9502812556704773,0.02028125567047734,0.9433859553620033,0.013385955362003377
NOX,0.1,0.9,0.9241516966067864,0.0241516966067864,0.9199782253674469,0.019978225367446867
NOX,0.15,0.85,0.8827798947559427,0.03277989475594267,0.8867719107240065,0.03677191072400654
NOX,0.2,0.8,0.8455815641444384,0.04558156414443837,0.849755035383778,0.0497550353837779
CO,0.05,0.95,0.9638904010161495,0.013890401016149578,0.9386681183088369,-0.01133188169116306
CO,0.07,0.9299999999999999,0.9540918163672655,0.02409181636726554,0.9005625113409544,-0.029437488659045496
CO,0.1,0.9,0.9272364362184722,0.02723643621847216,0.8294320450009073,-0.07056795499909274
CO,0.15,0.85,0.8869533659952822,0.036953365995282206,0.742152059517329,-0.10784794048267099
CO,0.2,0.8,0.8399564507348939,0.039956450734893845,0.6719288695336599,-0.1280711304663401
